"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.13092367775324076,0.0,0.0,0.0,0.0,0.0,0.520704971970642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.49027680298931287,0.0,0.0,0.0,0.0,0.0,1.1275883081463987,0.2046567666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20465676666666718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20465676666666682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049842917198565165,0.16241263336630524,0.0,0.0,0.01072322578255036,0.0,0.0,0.0,
0.6666667,0.0,NaN,0.0,0.0,NaN,0.0011751681332540552,0.0,NaN,0.21006803379055808,0.0,NaN,0.020860724610586565,0.0,NaN,0.0,
0.75,0.6472416142316815,0.0,0.0,0.0,0.0,9.376012812191724E-4,0.7410304209760165,0.0,0.20465319607826898,0.0,0.0,0.020837128938086424,0.0,0.0,0.0,
0.8333333,1.3060035154302894,0.18663302062647216,0.0,0.0,0.0,0.0,1.4889843570480439,0.2033344298435722,0.2046530440854475,0.0,0.0,0.020837055914552417,0.0,0.0,0.0,
0.9166667,0.0,0.002732199870906748,0.0,0.0,0.0,0.0,0.0,0.2046450946884856,0.20465670930393864,0.0,0.0,0.020833390696060917,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20465676666666702,0.20465131047482032,0.0,0.0,0.020838789525179365,0.0,0.0,0.0,
1.0833334,0.0,0.0,0.0,0.0,4.819640900809234E-4,0.0,0.0,0.14983021640839755,0.8244913353719232,0.0,0.0,0.02426241997524083,0.0,0.0,0.0,
