"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
1.4166666,44400.72,105736.7,126845.125,173149.7,46331.098,76260.98,5377.034,13.370291,20160.973,398.5877,11199.107,399.3431,2271.3691,490.35587,61657.453,158899.03,18743.31,9754.96,8714.436,27622.553,29505.965,23173.646,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
1.5,113850.945,93096.79,127416.086,187509.9,48012.535,83647.484,3653.8904,20.87267,17771.906,732.7388,10632.733,621.1937,1919.3212,509.2685,61830.766,159131.27,16854.678,11271.068,8890.449,30485.662,28668.324,24357.324,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
1.5833334,183139.5,111195.984,125963.84,198782.22,54916.54,94070.36,2216.2893,28.587418,16486.635,837.8091,9375.73,886.2688,1372.9016,539.6837,58380.594,159807.89,15734.948,12223.607,8097.0137,32400.309,26954.582,25420.312,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
1.6666666,104558.586,224757.86,118847.63,214431.23,39811.45,103394.37,1746.8665,41.911575,13771.514,974.159,8113.9146,1136.244,1219.9008,557.56354,53908.598,161208.23,14322.842,13338.234,7590.7847,33791.785,23034.668,28831.062,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
1.75,89249.02,218929.53,107705.21,229890.3,27361.703,111231.945,1512.5889,70.16251,12122.774,1113.7231,7901.345,1294.4355,1101.7021,593.0614,54516.1,157721.31,12691.262,14601.353,6383.2817,34754.027,20439.764,31193.416,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
1.8333334,79694.086,166723.27,104015.97,243353.62,71670.85,108288.39,1332.4293,162.493,10010.995,1249.68,7140.5107,1487.2367,930.7857,646.463,60660.19,157604.75,18088.434,15099.812,6074.2197,35524.297,19797.047,34338.824,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
1.9166666,112533.47,115911.71,108442.68,255528.28,44417.11,111934.55,1270.3684,175.76776,8072.4824,1489.4362,5710.7876,2077.062,988.0276,684.6472,63075.016,158490.16,19140.83,15600.98,5884.0005,35997.895,18589.717,36912.445,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
2.0,206068.77,96287.64,114658.586,262308.2,37332.324,106804.79,993.60065,247.92703,6557.6157,1657.8971,5556.924,2235.7139,1119.0037,735.2471,52519.17,159558.81,17921.95,15865.785,5081.6924,37627.566,14187.824,41779.18,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
2.0833333,257721.86,100051.21,118274.38,263648.22,43990.36,104375.91,820.3135,304.47522,5108.18,1721.2821,5062.5757,2282.9207,902.546,804.646,48059.98,160363.42,16875.252,15641.314,6097.1157,38816.246,12846.053,45008.15,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
2.1666667,210144.31,182848.7,114990.445,265420.9,14833.069,104349.33,760.2693,322.92938,3885.3062,1777.7968,4563.3286,2306.3708,582.3797,883.6382,41709.848,158948.62,15913.804,15295.232,8218.771,39556.01,11929.158,47685.16,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
2.25,184200.1,192981.38,109520.73,268764.56,4768.2676,95347.305,647.2384,383.7062,3233.1401,1768.1307,3751.0383,2420.2249,475.8178,921.7051,42032.14,155113.67,14974.196,14955.298,7578.7817,39816.19,11416.766,49891.574,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
2.3333333,164485.17,153521.3,104808.69,275211.8,35582.81,85271.0,570.124,423.13593,2805.238,1766.8657,3132.4597,2470.6023,388.19717,949.08386,41768.023,153620.42,20128.592,14943.375,7292.137,39860.273,10326.306,53705.996,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
2.4166667,184029.64,88311.734,110063.195,284561.16,24320.559,75075.664,487.0632,457.34784,2542.2632,1806.3816,2830.6733,2838.8577,695.78406,969.4188,56038.324,151727.14,21255.305,14629.141,7773.6807,39499.832,11733.554,55204.945,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
2.5,274716.25,72046.04,114952.6,294915.34,20550.803,60503.098,464.93182,480.27457,2207.336,2089.745,3368.029,3023.1494,821.0706,981.52997,54236.45,149467.69,19903.176,14356.554,7698.516,40761.88,10961.795,56782.88,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
2.5833333,320754.5,74794.4,103626.15,305559.7,32674.979,49467.023,453.54327,523.80695,1868.0883,2155.9849,3388.0059,3190.7922,880.5883,1025.0436,52953.723,147049.17,18776.375,13865.225,8705.077,42840.24,8633.552,58392.844,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
2.6666667,292200.97,113288.63,90911.43,310556.88,27173.732,38336.062,452.72363,556.9881,1935.0162,2258.5806,3727.0396,3314.7354,874.6028,1024.131,49124.863,146515.42,17644.697,13539.756,9350.379,44930.934,8233.343,59727.35,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
2.75,264664.12,116221.836,82223.22,309803.66,26434.541,26176.488,386.7959,647.23956,3188.2903,2294.92,3828.548,3407.8743,904.5156,1047.8961,48582.72,148055.98,16804.389,13031.471,9310.895,45031.152,8660.5,60655.594,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
2.8333333,216832.89,94860.3,69400.59,319656.9,27359.541,36311.082,389.30832,693.69257,3627.6802,2286.6838,3501.5127,3817.5076,688.07886,1208.0575,61584.82,147472.72,22249.49,12610.715,8962.101,44721.707,10826.105,61120.223,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
2.9166667,167767.97,56396.926,71764.55,325495.22,28180.39,34586.875,363.4597,741.38873,3162.579,2482.9333,3697.3813,4032.933,1158.2089,1347.0216,72198.47,146541.92,23482.13,12068.441,10860.557,44935.42,11959.19,61999.93,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
3.0,239149.14,44732.375,77682.04,323486.78,31797.162,30977.893,314.82468,758.8203,2816.7961,2836.7942,5013.9214,4028.8848,1717.0614,1399.6333,56092.004,146964.3,22386.678,11552.927,9903.728,48372.61,9492.199,63836.652,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
3.0833333,299216.4,55249.06,69338.79,325353.25,40809.73,34091.07,299.45795,767.3498,2491.5269,2976.7327,5346.3247,4076.4766,1393.1809,1352.9833,49353.508,144354.08,21083.838,11258.548,7228.8477,52644.89,7949.8223,64298.36,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
3.1666667,244412.69,112904.12,62187.844,321343.56,31866.598,43923.35,287.85498,781.4259,2044.7189,3573.6768,4728.112,4146.046,986.59625,1350.3174,44143.203,142366.33,20109.314,10802.463,6799.684,52495.207,8064.2515,64582.477,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
3.25,209259.61,124800.51,56475.742,322127.88,30249.37,46770.887,283.6138,787.591,2113.3403,3673.8179,3874.6418,4172.9116,812.8348,1382.0719,41512.312,140350.19,19064.78,10618.641,6415.963,51610.934,9429.552,64680.63,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
