"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,1633.2229,0.0,11156.806,0.0,0.0,0.0,0.0,0.0,7.292361,0.0,0.0,0.0,1729.4934,0.0,0.0,0.0,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,5539.1763,0.0,22513.555,0.0,0.0,0.0,0.98922336,0.0,178.12703,0.0,0.0,0.0,7196.712,0.0,10.589005,0.0,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
0.33333334,167.57076,0.0,8.61483,0.0,18044.125,0.0,11010.935,0.0,22082.285,0.0,0.0,0.0,128.98318,0.0,1383.2648,0.0,6367.843,0.0,12427.439,0.0,692.2911,0.0,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
0.41666666,4377.9614,0.0,1077.9402,0.0,18665.992,0.0,13205.562,0.0,21113.764,0.0,1585.1669,0.0,1759.3647,0.0,6275.027,0.0,8615.652,0.0,15631.636,0.0,5504.6826,0.0,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
0.5,23722.627,0.0,9753.534,0.0,20532.418,0.0,13930.977,0.0,20163.572,0.0,6153.9873,0.0,3585.9907,0.0,19201.832,0.0,8658.519,0.0,17517.852,21.35874,17623.53,0.0,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
0.5833333,38800.21,30131.734,36158.95,0.0,29259.18,0.0,15053.523,0.0,20534.363,0.0,9478.99,0.0,5278.353,0.0,36820.66,0.0,8823.841,0.0,19764.96,330.84174,32067.588,0.0,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
0.6666667,1170.217,111906.82,69996.445,0.0,30215.096,0.0,18404.346,0.0,31077.072,0.0,10903.206,0.0,6876.7725,0.0,51663.35,3215.3154,9045.922,0.0,20441.658,1263.0343,40826.06,195.00916,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
0.75,0.0,101373.87,99799.45,2202.902,32247.166,0.0,19806.379,0.0,35155.965,0.0,11016.283,0.0,7400.223,0.0,46769.402,26146.307,9329.592,0.0,20474.697,3089.0845,45691.78,1177.6204,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
0.8333333,1205.2461,81585.82,98798.26,20621.615,37919.758,12920.24,21281.77,0.0,34789.664,0.0,10976.307,0.0,7368.078,61.370903,49895.234,43806.223,15966.359,0.0,20266.21,4814.842,45451.91,8426.632,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
0.9166667,30083.133,65740.52,98652.75,38586.41,36671.445,23927.062,18097.41,0.0,30840.389,3.72258E-5,11062.8955,8.268856,6827.5083,99.48865,54741.906,62048.227,17985.63,581.68243,17899.014,7684.039,39085.906,24384.924,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
1.0,118363.39,52980.78,100332.02,56222.35,36414.6,34975.34,13214.449,0.0,25544.352,8.017862,11382.329,60.126022,5994.9463,136.55588,54079.56,81670.96,16250.8,2555.8188,15126.03,10575.335,37005.08,33832.566,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
1.0833334,179188.97,63644.63,103940.84,73791.93,38009.04,44934.438,8806.251,8.724617E-4,20177.764,33.128487,10375.7705,107.272,5224.9185,194.45114,53697.098,103552.78,13787.259,5115.904,12372.389,13371.727,36110.715,41996.027,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
1.1666666,128038.125,147008.4,108013.7,90021.664,44137.703,48045.008,7431.6875,11.089985,17698.42,103.92724,9626.763,121.9905,4680.928,304.54718,51008.85,122598.82,12214.614,6825.4463,12054.586,16671.41,37090.156,46177.703,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
1.25,98117.66,162732.38,106963.65,109611.34,45774.195,54827.902,6413.493,28.735102,14126.714,161.5292,9456.172,161.82143,3956.818,449.40692,50409.906,132132.4,11547.987,7496.9277,10296.812,19411.115,34244.805,51091.77,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
1.3333334,92555.06,134217.84,103117.22,134803.4,54163.91,68192.266,7025.0117,43.207752,12287.815,412.75818,8989.13,187.3998,3221.48,552.3168,53607.03,137862.89,17217.99,8059.626,10273.709,21651.457,31099.146,55110.473,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
1.4166666,120825.93,96556.8,97631.71,156374.22,57107.168,75844.27,5525.1777,114.60697,10346.302,561.42206,8909.028,281.22647,2594.1804,726.162,55244.832,143318.89,18529.426,8776.693,9274.868,24281.404,27082.305,59564.14,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
1.5,212902.72,79408.71,88913.984,178221.77,59626.184,82528.234,3914.83,199.92303,9007.618,784.5183,8110.334,378.8408,2081.441,865.1052,50698.168,145119.11,17586.932,9209.571,7828.3984,26773.826,23150.389,64356.54,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
1.5833334,271487.8,85387.4,81812.266,195555.14,66537.61,87466.945,2905.5544,324.22665,7048.936,978.52155,7018.9585,527.7239,1778.9017,1005.70966,47445.473,144606.78,16191.301,9979.093,7790.105,28350.854,23055.502,65204.133,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
1.6666666,242031.62,146704.4,81442.586,206829.25,47892.51,98771.75,4685.616,396.52866,5908.164,1090.1628,6071.788,679.8259,1377.6467,1254.4324,48563.004,141866.36,14951.756,10574.648,7378.9497,30075.13,21084.727,67274.91,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
1.75,193923.0,177360.9,69354.66,228123.28,40633.594,93443.81,4244.302,415.8807,5393.818,1149.3231,5054.545,1179.5222,986.33545,1336.7219,48100.176,141038.3,14146.906,10587.442,6717.9185,31317.408,20643.092,67884.32,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
1.8333334,164115.55,149455.17,59971.84,248027.34,56069.855,93312.21,2762.2634,442.64023,4644.677,1198.0977,4540.6357,1537.8181,754.9577,1353.3643,58098.64,139602.44,19589.021,10618.548,6609.906,31976.666,21246.797,69701.16,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
1.9166666,159102.45,100987.7,43112.332,278118.44,42640.137,92857.37,1938.6648,527.1258,3687.3975,1255.3964,4192.92,1679.2509,800.7847,1410.0823,58084.2,140283.0,20629.807,10706.626,5977.8613,32669.215,20261.633,73686.516,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
2.0,234657.16,89872.266,43491.87,285469.34,48481.42,83658.21,1549.3441,677.5816,2958.8135,1303.8373,4277.7065,1839.2288,798.0155,1495.6342,49265.15,137906.3,19680.195,10296.899,5153.999,33394.562,16093.719,78371.484,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
2.0833333,289361.66,87229.77,38299.45,291274.9,50799.74,84435.375,1180.6364,884.71564,2186.3142,1436.0084,4394.409,1866.3724,737.87823,1466.2521,45753.035,135227.3,18684.455,10015.279,4390.217,33707.9,11343.343,84621.67,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
