"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.005218331499999961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,0.0,0.0,0.0,0.0033262501759382637,0.0,0.005218331499999958,0.03900845885663541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0,0.0,0.0,0.015132808338857433,0.0,0.0,0.03900814223425056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.0,0.0,0.0,0.011728591811690574,0.0,0.0,0.039008676567840087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.0,0.0,0.0,0.008105473136878647,0.0,0.0,0.0390078411168941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.0,0.0,0.0,0.0061650777457860975,0.0,0.0,0.039008785729790066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.0,0.0,0.0,0.006316540185182455,0.0,0.005218331499999961,0.03900815586213056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.0,0.0,0.0,0.004429789827538737,0.0,0.005218331499999958,0.039008591333089836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.0,0.0,0.0,0.008679715706484313,0.0,0.0,0.03900833414688044,0.0,0.0,1.289304689567777E-4,0.0,0.0,0.0,0.0,
1.0,0.0,0.0,0.0,0.0,0.007461786493857189,0.0,0.0,0.03900807857314968,0.0,0.0,8.359617726527783E-4,0.0,0.0,0.0,0.0,
1.0833334,0.0,0.0,0.0,0.0,0.009037919421416029,0.0,0.0,0.03900793562726325,0.0,0.0,0.001707760432517154,0.0,0.0,0.0,0.0,
