"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.02600626797688726,0.0,0.0,0.0,0.0033512655826155634,0.0,0.10139842080271697,0.049999651939770656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.01858401303372532,0.0,0.0,0.04999990637564911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.0,1.9110212836406988E-4,0.0,0.0,0.01978635014193992,0.0,0.0,0.04999969025664591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.0,0.0010197822179007,0.0,0.0,0.020157261270140114,0.0,0.0,0.04999960323305884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0274228189160568,0.010901885579732973,0.0,0.0,0.01912268929273389,0.0,0.26066654558524444,0.049936244296416576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.9083807441872171,0.09611685575432447,0.0,0.0,0.014418244636626741,0.0,0.2529833760777323,0.049842588687181735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.6815285167185144,0.1996686062240834,0.0,0.0,0.012135888527716026,0.0,0.14123265132194798,0.04960512744231717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.07564824730083,0.0,0.0,0.016638123489374088,0.0,0.0,0.04984834893925352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.0,0.06130461076119095,0.0,0.0,0.016469868908953397,0.0,0.0,0.04999092153937197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9166667,0.0,0.17500310826274124,0.0,0.0,0.01761317195570404,0.0,0.0,0.049858022860337234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,2.055354666724039,0.23898037556925367,0.10995951930439923,0.0,0.016237337409131046,0.017789823994988338,0.3317777706500903,0.04974829532424849,0.04992170504784632,0.0,1.606374837534442E-8,0.0,0.0,0.0,0.0,
1.0833334,1.1616857094439184,0.5205265345417509,0.277772611784389,0.0,0.012020983368803986,0.016163885252376397,0.2692759468922434,0.04866847912045903,0.049865765475109486,0.0,6.640211118191558E-7,0.0,0.0,0.0,0.0,
