"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.29221631339738846,0.0,0.0,0.0,0.0,0.0,0.5526240630197382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.4550333756866292,0.11413282739658745,0.0,0.0,0.0014732309325861895,0.0,1.0589796756261336,0.04163881370799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.0,0.051682639877913314,0.0,0.0,0.005161054104703555,0.0,0.0,0.04153155848083111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.017621460356528153,0.0,0.0,0.010089486194403328,0.0,0.0,0.04166603764897468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.023836984691484167,0.0,0.0,0.012712319776290051,0.0,0.0,0.04159800325002183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.0,0.04758129011531158,0.0,0.0,0.011541593966255436,0.0,0.0,0.041594621617042235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8333333,0.6830109654274719,0.04782197421220261,0.0,0.0,0.010815931226030587,0.0,0.7159501145032956,0.04164710980102973,0.0,0.0,1.2057490648789165E-10,0.0,0.0,0.0,0.0,
0.9166667,1.041235816941442,0.2575511475557135,0.0,0.0,0.008454581167647498,0.0,1.2931867922664662,0.040855885096396975,0.0,0.0,1.8060394082319658E-10,0.0,0.0,0.0,0.0,
1.0,0.0,0.16957717363874936,0.0,0.0,0.009230240291282308,0.0,0.0,0.041392993297693345,0.0,0.0,2.0240701774977745E-9,0.0,0.0,0.0,0.0,
