"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
1.4166666,78781.68,129132.555,74301.5,189715.72,62051.008,107612.664,6277.0596,11.231764,27876.506,787.4049,14145.523,346.75925,3292.2637,742.0738,56888.3,156117.48,19914.998,6846.2305,7747.2324,27871.207,21697.98,55338.99,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
1.5,167658.64,106962.74,72038.47,201995.47,66564.14,103800.44,3880.1694,20.205894,23829.225,1053.5651,12662.409,415.7395,2473.64,859.38837,48740.13,158520.48,18865.979,7285.869,6867.3564,31570.963,21513.766,56007.504,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
1.5833334,238597.44,106037.71,67057.88,210683.38,73483.08,108408.914,2801.6897,33.367264,22128.37,1230.8196,11377.472,552.2411,2215.1846,902.2534,42138.15,160486.72,17846.303,7563.277,6236.9175,33911.9,20106.936,57762.348,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
1.6666666,192060.25,189957.75,56495.875,224316.73,54644.41,111664.94,3436.238,196.11758,21231.994,1374.3856,9418.09,846.5843,1742.0238,972.44,45780.656,160341.69,16468.895,8113.549,5711.8047,35611.824,18722.697,58920.0,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
1.75,154992.64,204830.61,55943.426,232084.9,41425.727,112894.56,2629.2126,239.63889,18648.137,1356.9496,7787.938,884.07855,1508.7968,993.30725,45446.656,155926.47,15075.369,8619.7705,5892.886,36811.12,17356.502,58871.38,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
1.8333334,128142.68,171106.61,53174.664,242668.69,56225.54,116195.42,2036.8396,256.08752,16273.946,1369.9585,6669.2646,1032.265,1387.5867,1073.6478,65658.81,152878.72,20225.963,9025.948,6796.777,37945.793,16551.547,61289.87,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
1.9166666,138317.08,126195.484,50804.47,261874.5,43152.426,111194.914,1556.8496,351.35724,13818.702,1406.6198,5543.3423,1251.4185,1527.2186,1102.6484,70841.83,151089.47,21381.072,9133.013,5732.7812,39491.566,14490.901,64995.316,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
2.0,207889.55,117646.06,52843.6,271823.2,43021.668,105779.54,1275.6517,388.8326,11513.46,1542.7108,5047.8667,1263.1256,1485.9359,1121.7788,57318.438,149980.42,20181.152,9190.182,4679.73,40506.625,13492.598,66901.02,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
2.0833333,286259.2,109098.3,43056.83,285564.78,52044.305,106523.02,1081.835,516.21014,8701.196,1613.8087,4718.367,1216.5333,1309.129,1120.4426,49429.914,146144.27,18966.986,9271.6455,3164.2205,41448.37,9235.002,71786.7,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
2.1666667,260086.61,168325.5,42141.89,295599.06,38200.152,102658.02,801.8305,643.66095,6755.0493,1633.6569,3971.7134,1266.5436,1066.0627,1253.4104,42240.62,144383.7,18035.02,9080.713,2708.8047,41532.523,8029.6123,74117.164,3083.287,10863.439,24242.361,3503.2754,1.8993933,1000000.0
