"Predation (Mpred), Starvation (Mstarv), Other Natural mortality (Mnat), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Mnat Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Mnat","Mnat","Mnat","F","F","F","Zout","Zout","Zout"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.11053134690498939,0.21886132917788986,0.0,0.0,0.0,0.0,0.4629916421875073,0.030843058001845513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33333334,0.4032771130074376,0.18196094468980417,0.0,0.0,0.001313399229068124,0.0,0.9849108282853469,0.06486586514845197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41666666,0.2964804129664768,0.1819750613448981,0.0,0.0,0.006211254857612864,0.0,0.9502924454340069,0.06441404048089408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.34420703766556027,0.250437077432744,0.0,0.0,0.005896539094739323,0.0,0.5411355017081606,0.0641806660705263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5833333,0.0,0.05610479113315889,0.0,0.0,0.010283781288736115,0.0,0.0,0.06625555813228798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6666667,0.0,0.060341931398961664,0.0,0.0,0.011056578344982068,0.0,0.0,0.0664039730687083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.2715734588537455,0.024717133022564026,0.0,0.0,0.01173360543390036,0.0,0.5157171652484915,0.06662196109085033,0.0,0.0,2.043973947511128E-13,0.0,0.0,0.0,0.0,
0.8333333,0.6818810322370283,0.04953474278165339,0.0,0.0,0.012923791090454259,0.0,1.0817387923969648,0.06641579170902563,0.0,0.0,2.7942129456516106E-12,0.0,0.0,0.0,0.0,
0.9166667,0.4402900693590004,0.1338749845037037,0.0,0.0,0.012261046340937255,0.0,0.9972046933254615,0.06617431498072648,0.0,0.0,1.5485379439930074E-7,0.0,0.0,0.0,0.0,
1.0,0.2907628159312481,0.11625002138999976,0.0,0.0,0.012416397879434427,0.0,0.5223319147194195,0.06615433020753037,0.0,0.0,3.8927691847201053E-7,0.0,0.0,0.0,0.0,
