"Mean size of fish species in cm, weighted by fish numbers, and excluding first ages specified in input"
"Time","OctopusVulgaris","MelicertusKerathurus","MetapenaeusMonoceros","TrachurusTrachurus","SardinaPilchardus","SardinellaAurita","EngraulisEncrasicolus","DiplodusAnnularis","MustelusMustelus","MerlucciusMerluccius","PagellusErythrinus"
0.083333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.33333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.41666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5833333,NaN,NaN,NaN,1.3547429,1.3358465,NaN,NaN,8.258143,NaN,3.709251,NaN
0.6666667,NaN,NaN,NaN,1.3539382,1.4234585,NaN,NaN,8.894846,NaN,3.7297318,NaN
0.75,108.39602,NaN,0.6503501,1.3437874,1.45148,NaN,4.4844537,6.586148,46.214703,3.748152,6.401124
0.8333333,109.96744,6.5726695,0.6868139,1.3865333,1.4686534,2.4003403,2.5645006,6.7805963,46.51992,3.7578578,6.8291626
0.9166667,110.02297,6.863057,0.76176023,1.4310281,1.4809744,2.4901335,2.839516,7.2344346,47.46421,3.772268,7.2668033
1.0,110.02284,7.1316676,1.0792776,1.4760011,1.55741,2.5174778,2.950318,7.629262,48.372593,3.7959936,7.78349
1.0833334,110.02284,7.3277273,1.6582146,1.530985,1.6135246,2.5616763,3.03758,7.5445843,49.244373,3.907899,8.159611
1.1666666,110.02284,7.523582,1.8939677,1.5851673,1.6878246,2.660328,3.2283747,8.000724,50.035988,4.1299143,8.55126
1.25,78.594315,7.7615185,2.0913649,1.6884345,1.8150431,2.8122966,3.4474666,6.682845,49.7611,4.3322043,8.910537
